Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Bahrain;BHR;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36997,7356;39769,31181;40971,7265;44690,41482;43113,48124;43369,15357;43737,18814;43716,02075;44458,43837;45053,74612;46154,02954;46084,92721;46478,20542;47504,55731;47455,23999;46821,02463;46303,48701;46792,17426;46588,6421;44972,74558;45600,06624;46564,71088;47793,53097;48915,52994;49117,98845;48453,72585;48486,30275;48929,44701;48937,66036;49768,97621;47847,83817;49387,41834;
Bahamas, The;BHS;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36041,03822;33860,9857;31882,47117;31293,52666;31638,50844;32411,25718;33184,27654;34867,0113;32744,92447;36179,88708;37131,30308;37572,89375;38083,53317;37103,39686;36929,17371;37665,3877;38081,24648;38091,90531;36680,82694;34646,59074;34688,0934;34468,88625;35150,56293;33826,34151;34143,03062;34170,23232;33596,63622;34357,27066;34735,12552;35161,83047;26659,23803;30210,16126;
Bosnia and Herzegovina;BIH;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1729,979454;2096,391837;3801,914884;4932,662294;5608,885901;6091,157505;6825,439388;6964,873805;7308,969115;7618,20563;8180,038808;8599,635224;9146,110299;9803,101625;10505,79705;10362,6525;10635,1872;10932,13667;11045,21205;11482,3038;11766,00308;12290,35034;12835,30623;13400,04111;14064,33289;14632,12588;14356,42334;15663,74275;
Belarus;BLR;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8895,172703;8784,377365;7923,650356;7305,306909;6458,214559;5805,363156;5988,03971;6698,457879;7293,908216;7575,918326;8053,173638;8477,084011;8961,64112;9660,193688;10839,95627;11940,1866;13214,87158;14417,35353;15942,89768;16014,11553;17300,70368;18274,02072;18611,45421;18805,43087;19119,34615;18362,74559;17883,1265;18356,10077;18974,69981;19279,20925;19225,57383;19751,20391;
Belize;BLZ;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6396,500719;6981,00612;7663,648428;7979,022148;7823,965778;7675,217516;7521,864182;7530,272007;7554,925725;7954,444939;8702,082651;8857,370138;9023,401007;9566,060227;9710,014057;9631,591611;9781,776711;9815,054748;9397,151897;9101,549235;8988,865136;8776,863316;8912,105754;9109,572147;9276,317793;9387,914542;9208,113943;8873,754025;8798,538573;9028,551485;7703,118041;8762,622683;
Bermuda;BMU;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65961,40628;63958,89625;64385,40741;65967,85001;65904,72042;68313,38185;69643,40752;72403,88044;74677,09242;76772,32385;83181,52634;88231,78386;86364,15374;88727,31127;90195,81156;91114,07699;95615,3607;98257,9927;95855,80069;89961,98274;88399,91595;85829,37826;80982,36776;80503,65029;77361,10488;77842,7539;78149,35254;81834,95587;81423,40845;81681,72667;76117,80474;80271,1326;
Bolivia;BOL;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4437,866827;4575,706747;4556,993451;4657,030396;4779,839225;4909,178255;5028,444094;5181,4165;5343,957408;5270,027539;5305,619257;5300,314335;5337,765849;5387,58177;5515,655815;5660,574815;5829,371329;5989,689923;6248,933953;6349,007909;6499,818153;6724,300668;6952,738371;7305,227982;7581,598422;7825,766752;8034,172726;8244,933445;8466,293187;8528,748802;7679,933187;8052,177435;
Brazil;BRA;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10401,84244;10328,95712;10103,78794;10431,40966;10867,75092;11151,19164;11224,39946;11432,65057;11304,097;11196,83853;11529,48662;11536,36383;11739,43184;11733,4112;12268,66383;12520,85499;12877,44418;13518,84778;14067,94581;13916,96323;14824,74115;15271,46935;15425,35293;15751,48445;15695,6431;15011,57719;14402,49401;14477,86177;14619,59113;14685,12789;14021,95762;14592,35296;
Barbados;BRB;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14097,39555;13519,72141;12710,41933;12772,78719;12993,92352;13225,75439;13726,03232;14353,12012;14864,66606;14884,60184;15517,94083;15109,76335;15167,12679;15436,60241;15595,85299;16154,2612;17081,63284;17371,07252;17405,89355;16462,70674;16019,50743;15864,57232;15755,26697;15489,76118;15441,21976;15789,45122;16156,51756;16198,96216;16003,85743;15954,80266;13805,77754;13754,80242;
Brunei Darussalam;BRN;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70358,72409;70439,0532;71781,1029;70154,42473;70570,96451;71966,09741;72320,98798;69660,18601;67770,17249;68366,66318;68865,7873;69338,92072;70631,87368;71331,75273;70415,42415;69482,3838;71352,88579;70342,4093;67934,06408;65753,4057;66484,24154;68037,52298;67792,75463;65534,68316;63131,18625;62170,08702;59980,98875;60173,05113;59650,23153;61424,36431;61603,5508;60127,02369;
